

,,xiya:LeftElbow1,,,xiya:LeftElbow2,,,xiya:LeftElbow3,,,xiya:LeftHand1,,,xiya:LeftHand2,,,xiya:LeftHand3,,,xiya:RightElbow1,,,xiya:RightElbow2,,,xiya:RightElbow3,,,xiya:RightHand1,,,xiya:RightHand2,,,xiya:RightHand3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-167.586,-24.3193,1074.14,-101.633,-15.3772,1049.04,-196.973,-32.0712,970.915,-209.324,-53.1769,876.67,-223.812,-50.1257,829.5,-201.548,-5.14595,855.668,294.304,57.8348,1076.03,240.002,19.2663,1058.94,303.582,104.34,964.848,315.546,108.132,875.628,310.124,134.954,832.418,269.898,144.72,877.455
2,0,-168.691,-25.961,1075.14,-102.949,-16.7951,1049.65,-198.586,-34.3866,972.156,-211.525,-55.8817,878.256,-225.729,-53.0203,830.824,-203.623,-8.11395,856.622,294.385,58.5054,1076.36,240.435,19.6908,1059.22,303.761,104.894,965.001,315.839,108.713,875.86,310.4,135.46,832.632,269.991,145.096,877.623
3,0,-169.982,-27.1744,1076.27,-104.339,-18.5771,1050.38,-200.042,-35.8752,973.172,-213.744,-57.8796,879.408,-228.56,-55.1127,832.473,-206.355,-10.0453,857.807,294.514,59.2611,1076.51,240.88,20.1093,1059.55,304.156,105.534,965.16,316.046,109.365,876.115,310.623,135.945,832.79,270.058,145.475,877.75
4,0,-171.243,-28.15,1077.13,-105.097,-20.2927,1050.78,-201.892,-36.9322,974.234,-216.183,-58.9176,880.432,-230.928,-56.0546,833.429,-208.691,-11.1259,858.699,294.687,59.9783,1076.67,241.297,20.547,1059.79,304.384,106.199,965.29,316.18,109.994,876.345,310.794,136.445,832.958,270.159,145.908,877.929
5,0,-172.664,-28.8172,1077.9,-106.753,-21.0447,1051.12,-203.926,-37.5483,975.214,-218.602,-59.2656,881.388,-233.655,-56.6233,834.546,-211.537,-11.4366,860.102,294.926,60.6132,1076.85,241.655,20.9708,1059.9,304.521,106.865,965.559,316.266,110.674,876.588,310.968,137.133,833.213,270.263,146.369,878.024
6,0,-174.111,-29.224,1078.57,-108.493,-21.6323,1051.55,-205.731,-37.4876,975.976,-220.944,-59.0505,882.175,-236.623,-56.2104,835.585,-214.02,-11.3956,861.104,295.274,61.4949,1077.02,242.034,21.4712,1059.98,304.251,108.176,966.229,316.391,111.442,876.776,310.961,137.872,833.409,270.366,146.937,878.191
7,0,-175.171,-29.2123,1078.82,-109.668,-21.156,1051.8,-207.511,-37.2441,976.444,-223.502,-58.2798,882.916,-238.799,-55.2453,836.077,-216.499,-10.4176,861.739,295.601,62.2545,1077.23,242.393,21.919,1060.06,304.718,108.179,965.718,316.523,112.097,876.876,310.994,138.644,833.607,270.441,147.406,878.297
8,0,-176.858,-28.7494,1079.37,-111.204,-21.4963,1051.94,-209.502,-36.239,977.024,-226.057,-57.1208,883.426,-242.083,-53.5972,836.761,-219.556,-9.09836,862.828,295.887,62.8782,1077.35,242.914,22.4991,1060.11,304.826,109.034,965.801,316.702,112.882,876.954,311.054,139.328,833.785,270.502,147.912,878.376
9,0,-177.832,-27.9531,1079.32,-112.831,-21.0703,1051.93,-211.364,-35.2279,977.388,-228.544,-55.4134,883.59,-244.227,-51.5545,836.847,-221.651,-7.39868,863.145,296.039,63.4119,1077.42,243.28,23.0048,1060.18,305.021,109.88,965.889,316.77,113.778,876.958,311.071,140.161,833.865,270.478,148.598,878.506
